,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
57,"Sevmek Yüzünden",Simge,49323,https://open.spotify.com/track/4X25FY9QkLBlHAxKYjTY3U
58,"Romeo Ve Juliet",Frxzbie,49306,https://open.spotify.com/track/7iNYcYatvXRzCoYqD2Wlgo
59,Yazık,Tuğkan,49038,https://open.spotify.com/track/7zrezWXOFZQt6c85kBrxW3
60,"Sarılırım Birine",Adamlar,48077,https://open.spotify.com/track/4WaxccyM7lk1pmompcC8yR
61,"Seni Buldum Ya","Kaan Boşnak",46906,https://open.spotify.com/track/0raPeXeRFHkq1vrLPw6Xj8
62,Dip,Madrigal,46842,https://open.spotify.com/track/17MzeMBa6mWeY30BWYW8dd
63,Peşimde,"Kerimcan Durmaz",46726,https://open.spotify.com/track/5G5CKxNBvl6FRqNdVnmJUC
64,Yağmurlar,"Anıl Piyancı",46581,https://open.spotify.com/track/3aX0N8IdY9rECrbuuR4FMp
65,"Amcalar Geldiğinde",Batuflex,46274,https://open.spotify.com/track/7oECjZ7UjCR4ABQK0pPOvo
66,Madem,"Dolu Kadehi Ters Tut",46195,https://open.spotify.com/track/0AHY9HLMYcbscA2s4KEiJc
67,"Sar Bu Şehri (Akustik)",Canozan,46184,https://open.spotify.com/track/4YiW28JXKVnk0wGTLUfUz8
68,Arcade,"Duncan Laurence",46024,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
69,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",45654,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
70,Olsun,Hadise,45444,https://open.spotify.com/track/5hOHq0l62utc2aP7YSso2Y
71,"Dinle Beni Bi'","Yüzyüzeyken Konuşuruz",44856,https://open.spotify.com/track/11PO9iu6PtpgL1JK4QNUEJ
72,"Bi Sonraki Hayatımda Gel",Murda,44783,https://open.spotify.com/track/5SYkeNpjhJPFUMOP5TK8iw
73,"Daha Mutlu Olamam","mor ve ötesi",44745,https://open.spotify.com/track/32VgH3g8D7l7ZuT74FgdPY
74,Zemin,"Emir Can İğrek",43354,https://open.spotify.com/track/5WT3ohLdg04eUy9Bz2sRsi
75,Nasır,"Melike Şahin",43034,https://open.spotify.com/track/2Ry2VnhHUuWFX482rSxucE
76,"Cevapsız Sorular",maNga,42675,https://open.spotify.com/track/03INrUW4VCJpDXKQzNEaKS
77,Gitme,"Dolu Kadehi Ters Tut",42518,https://open.spotify.com/track/4Sng3wnol2Gb2yXgFdr9lj
