,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
73,"Boy With Luv (feat. Halsey)",BTS,55793,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
74,Levitating,"Dua Lipa",55495,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
75,"Bewafa Tera Masoom Chehra","Rochak Kohli",55445,https://open.spotify.com/track/2plj6f8TqOF0YNuHd2VzJD
76,"deja vu","Olivia Rodrigo",55408,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
77,Saibo,Sachin-Jigar,54878,https://open.spotify.com/track/6udC4b4jOSnHb9ItnXgKLR
78,"Without Me",Halsey,53396,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
79,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",53255,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
80,"Khabbi Seat","Ammy Virk",53207,https://open.spotify.com/track/4aK30RcFKxsiF1gjLlH5Gt
81,"Sira E Hou","Amrit Maan",53168,https://open.spotify.com/track/0b4HHjeg2b8xLj28WWnUkM
82,"Kiss Me More (feat. SZA)","Doja Cat",53128,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
83,"BurjKhalifa (From ""Laxmii"")",Shashi,53096,https://open.spotify.com/track/3ZVKI8jix6PjEFx2xFBFhz
84,Mirchi,DIVINE,53080,https://open.spotify.com/track/7zKzD5wM18bQSiJTAxTpwH
85,Falling,"Trevor Daniel",52533,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
86,"Shape of You","Ed Sheeran",52387,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
87,"Panghat (From ""Roohi"")",Sachin-Jigar,52371,https://open.spotify.com/track/2g8fA9Ijc3sAlfkQFlYxsf
88,"Tum Se Hi",Pritam,52303,https://open.spotify.com/track/7eQl3Yqv35ioqUfveKHitE
89,"Wafa Na Raas Aayee","Jubin Nautiyal",52053,https://open.spotify.com/track/7rjFYm6THGNETjg3vb1Tof
90,"Sugar & Brownies",DHARIA,51649,https://open.spotify.com/track/3EZocpoj4dsFqsluUGHnwT
91,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",51401,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
92,"Kutty Pattas","Santhosh Dhayanidhi",51337,https://open.spotify.com/track/7AHKnQ6XB5l7GL4pTJWLZn
93,Mehrama,Pritam,51272,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
94,Faded,"Alan Walker",50728,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
95,"Ek Tarfa","Darshan Raval",50622,https://open.spotify.com/track/64r6z0P3RnhpTGdkA7p5Os
96,Nayan,"Dhvani Bhanushali",50601,https://open.spotify.com/track/2KrrAi2smn5Fa7sy7TxrKg
97,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")","Jasmine Sandlas",50307,https://open.spotify.com/track/11IAzj9706fIKBVCJyMNNt
98,"Udd Gaye",Ritviz,50191,https://open.spotify.com/track/5ZsAhuQ24mWHiduaxJqnhW
99,"Someone You Loved","Lewis Capaldi",50087,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
100,"One Dance",Drake,50000,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
101,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",49933,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
102,Qaafirana,"Arijit Singh",49792,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi
103,"Talking to the Moon","Bruno Mars",49627,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
104,"7 rings","Ariana Grande",49001,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
105,Kabira,Pritam,48798,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c
106,"Kho Gaye Hum Kahan","Jasleen Royal",48752,https://open.spotify.com/track/6nZiYSBwPQ7fYnVWkkkj4g
107,"Jaan Ban Gaye",Mithoon,48675,https://open.spotify.com/track/30CDYWqqitNHUa0DGaUeIE
108,"Master the Blaster - Background Score","Anirudh Ravichander",48613,https://open.spotify.com/track/4BRWG0mQqol30OG5xLIplN
109,"Let Me Love You","DJ Snake",48076,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
110,"Into Your Arms (feat. Ava Max)","Witt Lowry",47985,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM
111,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,47695,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
112,"3:59 AM",DIVINE,47633,https://open.spotify.com/track/2gNMXJDKRmKWuevBGjN8wo
113,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",47483,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
114,"death bed (coffee for your head)",Powfu,47349,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
115,"Scars To Your Beautiful","Alessia Cara",47167,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
116,"On My Way","Alan Walker",47033,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
117,Guilty,"Inder Chahal",46861,https://open.spotify.com/track/2W9awzkFJzPRddvLXtCSOU
118,"Chhor Denge",Sachet-Parampara,46803,https://open.spotify.com/track/5SYcKZYmQnHBW1LGLOi8sH
119,Raule,"Jassa Dhillon",46658,https://open.spotify.com/track/1IDO3YDXZEpBIT53R6QJSe
120,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",46463,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
121,"Rabba Mehar Kari","Darshan Raval",46359,https://open.spotify.com/track/7oUCpKXbK5PdNB0ytPOSqH
122,FRIENDS,Marshmello,46315,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
123,Gabru,"Gur Sidhu",46158,https://open.spotify.com/track/0GwNnekTpPXcbyni4NawXD
124,"I Like Me Better",Lauv,46012,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
125,"Tere Naal","Tulsi Kumar",45956,https://open.spotify.com/track/2Vw94w6FxCyaYwyCivi9Py
126,"Keh Len De",Kaka,45923,https://open.spotify.com/track/3CHZhkihLupVrfYIyg869S
127,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",45619,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
128,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",45332,https://open.spotify.com/track/1NX33DecZrq4ZUGDc47AfN
129,Anyone,"Justin Bieber",45289,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
130,"Alone, Pt. II","Alan Walker",45202,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
131,"Love Your Voice",JONY,45122,https://open.spotify.com/track/75VNPADAFa4iNpjEBUYMhF
132,"Mitha Mitha","R Nait",44974,https://open.spotify.com/track/6S7H6gDl7BGxDdnaIZSb0c
133,"Is Qadar","Tulsi Kumar",44954,https://open.spotify.com/track/3Rvdqwgbr3rryZkNRrItt3
134,"On The Ground",ROSÉ,44905,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
135,"Jatt te Jawani","Dilpreet Dhillon",44736,https://open.spotify.com/track/5oV5CJYCfOEvVkxswR6hrD
136,Mangalyam,"Thaman S",44409,https://open.spotify.com/track/7n5Jcqw85WSfJHrMXsk5N2
137,"Intentions (feat. Quavo)","Justin Bieber",44042,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
138,"Mast Magan (From ""2 States"")","Arijit Singh",43912,https://open.spotify.com/track/4wIWWEhbdgKAxhR68eE0Ye
139,Attention,"Charlie Puth",43671,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50
140,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",43364,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu
141,"Thode Kam Ajnabi","Arijit Singh",43247,https://open.spotify.com/track/7cfflovZJGHtN6LRUFYRun
142,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",43241,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
143,"Genda Phool (feat. Payal Dev)",Badshah,43208,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
144,Kanaa,Nucleya,43148,https://open.spotify.com/track/6J2pC3j9WF4tVJo4mEHZdn
145,"Humnava Mere","Jubin Nautiyal",43082,https://open.spotify.com/track/0loZn1c5heXie7OAtvK6nH
146,"Okey Oka Lokam","Arun Chiluveru",43074,https://open.spotify.com/track/0CHCU726JnK7AIdbqrzN9Y
147,Whoopty,CJ,43023,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
148,"Can We Kiss Forever?",Kina,42956,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
149,"Watermelon Sugar","Harry Styles",42938,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
150,"Goosebumps - Remix","Travis Scott",42915,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
151,"Jala Jala Jalapaatham Nuvvu","Devi Sri Prasad",42869,https://open.spotify.com/track/3NF3c438tAguEcWvU4b5iA
152,"Dance Monkey","Tones And I",42858,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
153,"It's You","Ali Gatie",42765,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
154,"Jaan 'Nisaar (Arijit)","Arijit Singh",42694,https://open.spotify.com/track/6pzlnyHTVYi5FOmrgOmC95
155,Chidiya,Vilen,42616,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
156,"Slumber Party (feat. Princess Nokia)",Ashnikko,42557,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
157,"Tum Hi Ho (From ""Aashiqui 2"")","Arijit Singh",42358,https://open.spotify.com/track/7ouBSPZKQpm7zQz2leJXta
158,"WITHOUT YOU","The Kid LAROI",42234,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
159,"Humdard (From ""Ek Villain"")","Arijit Singh",41742,https://open.spotify.com/track/2PvaburAUlhNHxVhw5lvOq
160,Satisfya,"Imran Khan",41558,https://open.spotify.com/track/6HGoVbCUr63SgU3TjxEVj6
161,"No Competition","Jass Manak",41022,https://open.spotify.com/track/1TRgZ55GFCKSbrTb62rmra
162,"O Saki Saki (From ""Batla House"")","Neha Kakkar",40989,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
163,"bad guy","Billie Eilish",40986,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
164,"Buttabomma - Telugu","Armaan Malik",40899,https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS
165,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",40785,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
166,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",40717,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
167,Toxic,"AP Dhillon",40707,https://open.spotify.com/track/4faDlXyZMSxEuxBdd5gDIz
168,"Care Ni Karda (From ""Chhalaang"")","Sweetaj Brar",40627,https://open.spotify.com/track/6e5DH8YHXdM40ROnD76hZd
169,"Sawan Mein Lag Gayi Aag (From ""Ginny Weds Sunny"")","Mika Singh",40526,https://open.spotify.com/track/75blgc6LjSNv4MQyJkPka7
170,Titliaan,"Afsana Khan",40494,https://open.spotify.com/track/1980E4Grgu5xAhNbFZ1mb1
171,"First Kiss","Yo Yo Honey Singh",39801,https://open.spotify.com/track/1nhJF3mMAL9UgBz3vLLNuM
172,RAPSTAR,"Polo G",39713,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
173,Cradles,"Sub Urban",39601,https://open.spotify.com/track/18A7ha5BitZjmdHTCwXFbU
174,"Don't Start Now","Dua Lipa",39563,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
175,Baarishein,"Anuv Jain",39395,https://open.spotify.com/track/5iCY0TXNImK4hyKfcplQsg
176,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",39207,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
177,"Savage Love (Laxed - Siren Beat)","Jawsh 685",39188,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
178,"Boss Bitch","Doja Cat",39077,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
179,Safari,Serena,39060,https://open.spotify.com/track/3C9kY7XZh6GCEmfazGJ2UB
180,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",38889,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
181,willow,"Taylor Swift",38597,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
182,"Channa Mereya",Pritam,38462,https://open.spotify.com/track/0H2iJVgorRR0ZFgRqGUjUM
183,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",38308,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
184,"Dil Diyan Gallan","Atif Aslam",38080,https://open.spotify.com/track/0FBQ4NrrHUbR9kus7rzrOj
185,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",38064,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
186,"Main Tumhara","A.R. Rahman",37787,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
187,Thunder,"Imagine Dragons",37748,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
188,"Asal Mein","Darshan Raval",37508,https://open.spotify.com/track/0rMeOAvbQZ2RTG4B6L1M4p
189,Mazaa,"B Praak",37342,https://open.spotify.com/track/78MtqaMTxsamXztLQjEnyV
190,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",37276,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
191,"Jeena Jeena (From ""Badlapur"")","Atif Aslam",37017,https://open.spotify.com/track/6h09y5UH6sDRERJALlaJPi
192,"Saada Pyaar","AP Dhillon",36673,https://open.spotify.com/track/5gSVKG0R4xc8qtDIoyDNy8
193,Wolves,"Selena Gomez",36604,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
194,Lily,"Alan Walker",36541,https://open.spotify.com/track/0lks2Kt9veMOFEAPN0fsqN
195,"Mann Mera (From ""Table No. 21"")","Gajendra Verma",36540,https://open.spotify.com/track/2BeY2dQPbD8xYxx3yhBTVD
196,Sakhiyaan,"Maninder Buttar",36505,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
197,Zaalima,"Arijit Singh",36293,https://open.spotify.com/track/4fgJe7zBjVXvs8HxtE21Y9
198,"Kinna Sona","Sunil Kamath",36228,https://open.spotify.com/track/2gXZp1zDDA5bnPsLwrSMRj
199,"Kya Mujhe Pyaar Hai",Pritam,36200,https://open.spotify.com/track/3HFjh7QljnUCBLsoTwMuTj
200,"Blank Space","Taylor Swift",36132,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
